config,instance,run,solutionCosts,optimal,feasible,totalTime,improvement of runtime over runtime without batching,average number of jobs per batch,normalised objective bound,total running time,total setup time,total setup costs,number of too late jobs,number of batches,number of too late jobs (simple bound),integer objective bound,time required for calculation of batch count lower bound,time required for calculation of tardiness lower bound,time required for calculation of setup cost lower bound,solution_method,instance_number,objective
--lB -i,../../instances/112RandomOvenSchedulingInstance-n500-k5-a2--2312-10.35.09.json,1,-1,-1,-1,33.04277,29.81111111,26.31578947,0.3403238095,90,0,21,178,19,178,107202,28.40729,4.48656,0.09948,lowerBounds,112,combined objective
--lB -i,../../instances/113RandomOvenSchedulingInstance-n500-k5-a2--2312-10.35.11.json,1,-1,-1,-1,35.35209,6.058315335,5.747126437,0.9588,463,0,85,500,87,500,302022,27.90191,7.23439,0.15777,lowerBounds,113,combined objective
--lB -i,../../instances/114RandomOvenSchedulingInstance-n500-k5-a2--2312-10.36.44.json,1,-1,-1,-1,25.74303,1.862666962,1.824817518,0.2630264799,13551,0,2191,127,274,126,17606335,21.63442,3.2655,0.79468,lowerBounds,114,combined objective
--lB -i,../../instances/115RandomOvenSchedulingInstance-n500-k5-a2--2312-10.37.20.json,1,-1,-1,-1,29.11358,1.930966469,1.858736059,0.9716952381,1521,0,0,500,269,500,306084,26.50283,2.41905,0.13069,lowerBounds,115,combined objective
--lB -i,../../instances/116RandomOvenSchedulingInstance-n500-k5-a5--2312-10.43.12.json,1,-1,-1,-1,7.29226,11.18442623,12.19512195,0.6095936508,244,0,82,318,41,318,192022,4.83847,2.29682,0.10523,lowerBounds,116,combined objective
--lB -i,../../instances/117RandomOvenSchedulingInstance-n500-k5-a5--2312-10.43.31.json,1,-1,-1,-1,7.47716,1.843856076,1.805054152,0.810647619,1473,0,554,424,277,413,255354,4.84695,1.92113,0.64907,lowerBounds,117,combined objective
--lB -i,../../instances/118RandomOvenSchedulingInstance-n500-k5-a5--2312-10.44.39.json,1,-1,-1,-1,13.52355,5.133587786,4.854368932,0.9590349206,524,0,0,500,103,500,302096,5.93052,7.43082,0.10327,lowerBounds,118,combined objective
--lB -i,../../instances/119RandomOvenSchedulingInstance-n500-k5-a5--2312-10.45.22.json,1,-1,-1,-1,15.10955,1.820580475,1.805054152,0.7969396825,1516,0,386,407,277,407,251036,4.70656,9.57196,0.77051,lowerBounds,119,combined objective
--lB -i,../../instances/11RandomOvenSchedulingInstance-n10-k5-a2-WithInitialStates.json,1,-1,-1,-1,1.03175,3.230769231,5,0.9632380952,13,0,3,10,2,10,15171,0.02812,0.02662,0.93144,lowerBounds,11,combined objective
--lB -i,../../instances/120RandomOvenSchedulingInstance-n500-k5-a5--2312-11.10.45.json,1,-1,-1,-1,114.09395,5.131007909,6.666666667,0.9600774304,4931,0,433,500,75,500,64265183,6.0274,107.85324,0.15301,lowerBounds,120,combined objective
--lB -i,../../instances/12RandomOvenSchedulingInstance-n10-k5-a2-WithInitialStates.json,1,-1,-1,-1,1.00584,2.764705882,3.333333333,0.3005714286,17,0,6,3,3,3,4734,0.02687,0.03023,0.90597,lowerBounds,12,combined objective
--lB -i,../../instances/13RandomOvenSchedulingInstance-n10-k5-a2-WithInitialStates.json,1,-1,-1,-1,1.00742,3.047120419,5,0.869894431,191,0,11,9,2,9,21555984,0.02677,0.029,0.90948,lowerBounds,13,combined objective
--lB -i,../../instances/14RandomOvenSchedulingInstance-n10-k5-a2-WithInitialStates.json,1,-1,-1,-1,1.01927,2.877005348,5,0.585382716,187,0,16,6,2,6,1327647,0.02634,0.0336,0.91315,lowerBounds,14,combined objective
--lB -i,../../instances/15RandomOvenSchedulingInstance-n10-k5-a2-WithInitialStates.json,1,-1,-1,-1,1.01912,3.030612245,5,0.3953015873,196,0,40,4,2,4,24904,0.02605,0.03421,0.91423,lowerBounds,15,combined objective
--lB -i,../../instances/16RandomOvenSchedulingInstance-n10-k5-a5-WithInitialStates.json,1,-1,-1,-1,1.01154,1.489675516,1.666666667,0.9834173669,339,0,138,10,6,10,16957164,0.03042,0.03187,0.89603,lowerBounds,16,combined objective
--lB -i,../../instances/17RandomOvenSchedulingInstance-n10-k5-a5-WithInitialStates.json,1,-1,-1,-1,0.19296,1.663066955,1.666666667,0.02405741084,463,0,29,0,6,0,1073663,0.02557,0.02448,0.10489,lowerBounds,17,combined objective
--lB -i,../../instances/18RandomOvenSchedulingInstance-n10-k5-a5-WithInitialStates.json,1,-1,-1,-1,0.18724,2.015479876,2.5,0.9748340548,323,0,20,10,4,10,337780,0.02623,0.02165,0.09845,lowerBounds,18,combined objective
--lB -i,../../instances/19RandomOvenSchedulingInstance-n10-k5-a5-WithInitialStates.json,1,-1,-1,-1,0.2039,1.199519231,1.25,0.2243047619,416,0,56,2,8,2,23552,0.02421,0.04128,0.09761,lowerBounds,19,combined objective
--lB -i,../../instances/20RandomOvenSchedulingInstance-n10-k5-a5-WithInitialStates.json,1,-1,-1,-1,0.264,2.368932039,2.5,0.4929927747,206,0,19,5,4,5,1750149,0.02367,0.10176,0.09782,lowerBounds,20,combined objective
--lB -i,../../instances/21RandomOvenSchedulingInstance-n25-k2-a2-WithInitialStates.json,1,-1,-1,-1,0.22114,2.633333333,2.777777778,0.5477913832,60,0,11,14,9,14,30197,0.03473,0.04695,0.0986,lowerBounds,21,combined objective
--lB -i,../../instances/22RandomOvenSchedulingInstance-n25-k2-a2-WithInitialStates.json,1,-1,-1,-1,0.2151,3.578947368,6.25,0.7334603175,38,0,0,19,4,19,11552,0.03434,0.04496,0.09537,lowerBounds,22,combined objective
--lB -i,../../instances/23RandomOvenSchedulingInstance-n25-k2-a2-WithInitialStates.json,1,-1,-1,-1,0.24118,2.275800712,2.777777778,0.9706551999,562,0,109,25,9,25,63994812,0.03906,0.06318,0.09606,lowerBounds,23,combined objective
--lB -i,../../instances/24RandomOvenSchedulingInstance-n25-k2-a2-WithInitialStates.json,1,-1,-1,-1,0.24461,1.907051282,2.272727273,0.6704550265,624,0,143,17,11,17,253431,0.03634,0.06365,0.10133,lowerBounds,24,combined objective
--lB -i,../../instances/25RandomOvenSchedulingInstance-n25-k2-a2-WithInitialStates.json,1,-1,-1,-1,0.22623,3.661849711,5,0.3931951447,346,0,105,10,5,10,1105419,0.03662,0.05425,0.09476,lowerBounds,25,combined objective
--lB -i,../../instances/26RandomOvenSchedulingInstance-n25-k2-a5-WithInitialStates.json,1,-1,-1,-1,0.22095,2.088888889,2.777777778,0.9697777778,45,0,2,25,9,25,30548,0.02817,0.05783,0.0944,lowerBounds,26,combined objective
--lB -i,../../instances/27RandomOvenSchedulingInstance-n25-k2-a5-WithInitialStates.json,1,-1,-1,-1,0.26598,1.540540541,1.785714286,0.9820354809,814,0,42,25,14,25,131470,0.02803,0.10121,0.09588,lowerBounds,27,combined objective
--lB -i,../../instances/28RandomOvenSchedulingInstance-n25-k2-a5-WithInitialStates.json,1,-1,-1,-1,0.22713,2.152136752,2.5,0.2852885154,585,0,75,7,10,7,954825,0.03116,0.05795,0.09724,lowerBounds,28,combined objective
--lB -i,../../instances/29RandomOvenSchedulingInstance-n25-k2-a5-WithInitialStates.json,1,-1,-1,-1,0.21585,1.530657748,1.923076923,0.4869471861,897,0,52,12,13,12,1968484,0.03337,0.04551,0.09645,lowerBounds,29,combined objective
--lB -i,../../instances/30RandomOvenSchedulingInstance-n25-k2-a5-WithInitialStates.json,1,-1,-1,-1,0.23536,2.260700389,3.571428571,0.9706151165,514,0,103,25,7,25,2993741,0.03271,0.05766,0.10048,lowerBounds,30,combined objective
--lB -i,../../instances/31RandomOvenSchedulingInstance-n25-k5-a2-WithInitialStates.json,1,-1,-1,-1,0.2443,2.577777778,2.777777778,0.4342857143,45,0,12,11,9,11,17100,0.04797,0.05992,0.09635,lowerBounds,31,combined objective
--lB -i,../../instances/32RandomOvenSchedulingInstance-n25-k5-a2-WithInitialStates.json,1,-1,-1,-1,0.23389,2.196969697,2.5,0.210031746,66,0,22,5,10,5,3308,0.04373,0.05364,0.09628,lowerBounds,32,combined objective
--lB -i,../../instances/33RandomOvenSchedulingInstance-n25-k5-a2-WithInitialStates.json,1,-1,-1,-1,0.23887,2.604743083,3.571428571,0.05530997305,506,0,35,1,7,1,269325,0.0479,0.05348,0.0964,lowerBounds,33,combined objective
--lB -i,../../instances/34RandomOvenSchedulingInstance-n25-k5-a2-WithInitialStates.json,1,-1,-1,-1,0.27575,1.833607908,1.923076923,0.9011030688,607,0,286,23,13,23,2128855,0.0402,0.09771,0.0967,lowerBounds,34,combined objective
--lB -i,../../instances/35RandomOvenSchedulingInstance-n25-k5-a2-WithInitialStates.json,1,-1,-1,-1,0.24406,5.524886878,6.25,0.1598810953,221,0,28,4,4,4,8040800,0.04667,0.06356,0.09361,lowerBounds,35,combined objective
--lB -i,../../instances/36RandomOvenSchedulingInstance-n25-k5-a5-WithInitialStates.json,1,-1,-1,-1,0.23429,3.29787234,5,0.9645170068,47,0,5,25,5,25,17723,0.03306,0.06338,0.09685,lowerBounds,36,combined objective
--lB -i,../../instances/37RandomOvenSchedulingInstance-n25-k5-a5-WithInitialStates.json,1,-1,-1,-1,0.20857,1.479041916,1.923076923,0.9827809524,835,0,273,25,13,25,5417580,0.03102,0.04009,0.09573,lowerBounds,37,combined objective
--lB -i,../../instances/38RandomOvenSchedulingInstance-n25-k5-a5-WithInitialStates.json,1,-1,-1,-1,0.24164,1.498826291,1.785714286,0.4828260806,852,0,47,12,14,12,1647644,0.0309,0.06695,0.10157,lowerBounds,38,combined objective
--lB -i,../../instances/39RandomOvenSchedulingInstance-n25-k5-a5-WithInitialStates.json,1,-1,-1,-1,0.22692,1.565167243,1.785714286,0.8263858586,867,0,149,21,14,21,14317135,0.03463,0.05327,0.09754,lowerBounds,39,combined objective
--lB -i,../../instances/40RandomOvenSchedulingInstance-n25-k5-a5-WithInitialStates.json,1,-1,-1,-1,0.21658,1.778085992,1.923076923,0.3285720147,721,0,176,8,13,8,1121252,0.03222,0.04454,0.09808,lowerBounds,40,combined objective
--lB -i,../../instances/41RandomOvenSchedulingInstance-n50-k2-a2-WithInitialStates.json,1,-1,-1,-1,0.37942,4.608695652,5,0.9610340136,69,0,6,50,10,50,35318,0.10357,0.13098,0.10124,lowerBounds,41,combined objective
--lB -i,../../instances/42RandomOvenSchedulingInstance-n50-k2-a2-WithInitialStates.json,1,-1,-1,-1,0.78602,1.721212121,1.785714286,0.9745396825,165,0,19,50,28,50,30698,0.11709,0.15352,0.4625,lowerBounds,42,combined objective
--lB -i,../../instances/43RandomOvenSchedulingInstance-n50-k2-a2-WithInitialStates.json,1,-1,-1,-1,0.29964,3.864864865,4.545454545,0.9638730159,74,0,11,50,11,50,30361,0.09793,0.06539,0.09543,lowerBounds,43,combined objective
--lB -i,../../instances/44RandomOvenSchedulingInstance-n50-k2-a2-WithInitialStates.json,1,-1,-1,-1,0.34067,3.349002849,4.545454545,0.9648495238,702,0,174,50,11,50,139806696,0.10388,0.10129,0.09472,lowerBounds,44,combined objective
--lB -i,../../instances/45RandomOvenSchedulingInstance-n50-k2-a2-WithInitialStates.json,1,-1,-1,-1,0.76573,1.880935994,1.666666667,0.9750598155,1453,0,308,50,30,50,135987936,0.09983,0.13328,0.47975,lowerBounds,45,combined objective
--lB -i,../../instances/46RandomOvenSchedulingInstance-n50-k2-a5-WithInitialStates.json,1,-1,-1,-1,0.28451,2.00877193,2.631578947,0.646768254,114,0,13,33,19,33,50933,0.04583,0.09766,0.09913,lowerBounds,46,combined objective
--lB -i,../../instances/47RandomOvenSchedulingInstance-n50-k2-a5-WithInitialStates.json,1,-1,-1,-1,0.34936,2.401639344,2.941176471,0.9686788247,976,0,55,50,17,50,131461825,0.04692,0.16419,0.09722,lowerBounds,47,combined objective
--lB -i,../../instances/48RandomOvenSchedulingInstance-n50-k2-a5-WithInitialStates.json,1,-1,-1,-1,0.51895,1.926100629,2.5,0.2880679495,1272,0,213,14,20,14,42610651,0.04658,0.33534,0.09574,lowerBounds,48,combined objective
--lB -i,../../instances/49RandomOvenSchedulingInstance-n50-k2-a5-WithInitialStates.json,1,-1,-1,-1,0.25534,3.158831004,3.125,0.9674209524,787,0,400,50,16,50,761844,0.05046,0.06339,0.0987,lowerBounds,49,combined objective
--lB -i,../../instances/50RandomOvenSchedulingInstance-n50-k2-a5-WithInitialStates.json,1,-1,-1,-1,0.54965,2.733639495,2.631578947,0.4174444444,871,0,209,21,19,21,1157156,0.04657,0.36504,0.09708,lowerBounds,50,combined objective
--lB -i,../../instances/51RandomOvenSchedulingInstance-n50-k5-a2-WithInitialStates.json,1,-1,-1,-1,0.40309,3.911392405,4.166666667,0.9625034014,79,0,24,50,12,50,106115,0.14241,0.12376,0.09555,lowerBounds,51,combined objective
--lB -i,../../instances/52RandomOvenSchedulingInstance-n50-k5-a2-WithInitialStates.json,1,-1,-1,-1,0.37326,4.169230769,3.846153846,0.9045714286,65,0,17,47,13,47,28494,0.14173,0.09415,0.09572,lowerBounds,52,combined objective
--lB -i,../../instances/53RandomOvenSchedulingInstance-n50-k5-a2-WithInitialStates.json,1,-1,-1,-1,0.38322,3.139534884,3.571428571,0.7364444444,86,0,27,38,14,38,23198,0.13352,0.10507,0.10196,lowerBounds,53,combined objective
--lB -i,../../instances/54RandomOvenSchedulingInstance-n50-k5-a2-WithInitialStates.json,1,-1,-1,-1,0.38836,6.951219512,7.142857143,0.9575873016,41,0,0,50,7,50,30164,0.16774,0.08536,0.09359,lowerBounds,54,combined objective
--lB -i,../../instances/55RandomOvenSchedulingInstance-n50-k5-a2-WithInitialStates.json,1,-1,-1,-1,0.89187,1.536769327,1.666666667,0.9790502695,1591,0,223,50,30,50,138523375,0.14603,0.12768,0.57485,lowerBounds,55,combined objective
--lB -i,../../instances/56RandomOvenSchedulingInstance-n50-k5-a5-WithInitialStates.json,1,-1,-1,-1,0.38763,4.928571429,6.25,0.5027936508,56,0,7,26,8,26,15838,0.0727,0.17697,0.09664,lowerBounds,56,combined objective
--lB -i,../../instances/57RandomOvenSchedulingInstance-n50-k5-a5-WithInitialStates.json,1,-1,-1,-1,0.30478,2.536082474,2.777777778,0.548431746,97,0,5,28,18,28,43189,0.05419,0.11273,0.09689,lowerBounds,57,combined objective
--lB -i,../../instances/58RandomOvenSchedulingInstance-n50-k5-a5-WithInitialStates.json,1,-1,-1,-1,0.3093,2.16916996,2.380952381,0.6285028571,1265,0,191,32,21,32,907401,0.06994,0.09682,0.10082,lowerBounds,58,combined objective
--lB -i,../../instances/59RandomOvenSchedulingInstance-n50-k5-a5-WithInitialStates.json,1,-1,-1,-1,0.32531,3.263157895,4.166666667,0.8123809524,722,0,116,42,12,42,5118000,0.06423,0.12278,0.09638,lowerBounds,59,combined objective
--lB -i,../../instances/60RandomOvenSchedulingInstance-n50-k5-a5-WithInitialStates.json,1,-1,-1,-1,1.07647,1.75798722,1.724137931,0.7460636845,1252,0,122,38,29,38,89186318,0.0638,0.31201,0.65577,lowerBounds,60,combined objective
--lB -i,../../instances/61RandomOvenSchedulingInstance-n100-k2-a2-WithInitialStates.json,1,-1,-1,-1,1.02171,6.111111111,5,0.9587210884,99,0,20,100,20,100,422796,0.58034,0.2998,0.09967,lowerBounds,61,combined objective
--lB -i,../../instances/62RandomOvenSchedulingInstance-n100-k2-a2-WithInitialStates.json,1,-1,-1,-1,0.93786,2.418013857,2.43902439,0.9706424978,2165,0,567,100,41,100,226868271,0.51951,0.27,0.10545,lowerBounds,62,combined objective
--lB -i,../../instances/63RandomOvenSchedulingInstance-n100-k2-a2-WithInitialStates.json,1,-1,-1,-1,0.81917,9.946593002,6.666666667,0.4520150072,543,0,120,47,15,47,79877832,0.41444,0.26663,0.09668,lowerBounds,63,combined objective
--lB -i,../../instances/64RandomOvenSchedulingInstance-n100-k2-a2-WithInitialStates.json,1,-1,-1,-1,1.49126,4.828973843,3.125,0.9617503608,994,0,342,100,32,100,5331944,0.4369,0.90333,0.10746,lowerBounds,64,combined objective
--lB -i,../../instances/65RandomOvenSchedulingInstance-n100-k2-a2-WithInitialStates.json,1,-1,-1,-1,1.42601,1.695943563,1.694915254,0.4918979592,2835,0,804,49,59,49,139700988,0.38805,0.46683,0.52674,lowerBounds,65,combined objective
--lB -i,../../instances/66RandomOvenSchedulingInstance-n100-k2-a5-WithInitialStates.json,1,-1,-1,-1,1.21821,1.645533141,1.754385965,0.9798412698,347,0,57,100,57,100,61730,0.12271,0.25853,0.78818,lowerBounds,66,combined objective
--lB -i,../../instances/67RandomOvenSchedulingInstance-n100-k2-a5-WithInitialStates.json,1,-1,-1,-1,0.55863,4.945454545,6.666666667,0.3319047619,110,0,35,34,15,34,20910,0.13383,0.28705,0.09574,lowerBounds,67,combined objective
--lB -i,../../instances/68RandomOvenSchedulingInstance-n100-k2-a5-WithInitialStates.json,1,-1,-1,-1,1.11502,1.498672958,1.538461538,0.9796762652,3391,0,516,100,65,100,301654568,0.11897,0.42644,0.52244,lowerBounds,68,combined objective
--lB -i,../../instances/69RandomOvenSchedulingInstance-n100-k2-a5-WithInitialStates.json,1,-1,-1,-1,0.87253,3.089921545,2.702702703,0.2412210989,1657,0,134,25,37,24,75731364,0.14683,0.57907,0.10558,lowerBounds,69,combined objective
