config;instance;run;solutionCosts;integerSolutionCosts;optimal;feasible;total running time;total setup costs;number of too late jobs;number of batches;solve_time;total_time;normalized_objective_bound;int_objective_bound;normalization_const_int_to_float_obj;solution_method;instance_number;objective
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/direct-batch-pos-batchcount-objective.mzn $file --time-limit 3600000 -v;../../instances/11NewRandomOvenSchedulingInstance-n10-k5-a2--2904-11.36.50.dzn;1;0.973396825;15331;1;1;23;11;10;4;0.7883;1.344046;0.000253968;4;15750;singleobj-mzn-gurobi-noBounds;11;batchcount
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/direct-batch-pos-batchcount-objective.mzn $file --time-limit 3600000 -v;../../instances/12NewRandomOvenSchedulingInstance-n10-k5-a2--2904-11.38.44.dzn;1;0.879238095;13848;1;1;24;12;9;4;0.7633;1.321681;0.000253968;4;15750;singleobj-mzn-gurobi-noBounds;12;batchcount
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/direct-batch-pos-batchcount-objective.mzn $file --time-limit 3600000 -v;../../instances/13NewRandomOvenSchedulingInstance-n10-k5-a2--2904-11.49.41.dzn;1;0.974631154;24151360;1;1;321;40;10;4;0.8453;1.409727;1.61E-07;4;24780000;singleobj-mzn-gurobi-noBounds;13;batchcount
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/direct-batch-pos-batchcount-objective.mzn $file --time-limit 3600000 -v;../../instances/14NewRandomOvenSchedulingInstance-n10-k5-a2--2904-11.50.16.dzn;1;0.969222222;2198196;1;1;207;47;10;3;0.9381;1.494917;1.32E-06;3;2268000;singleobj-mzn-gurobi-noBounds;14;batchcount
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/direct-batch-pos-batchcount-objective.mzn $file --time-limit 3600000 -v;../../instances/15NewRandomOvenSchedulingInstance-n10-k5-a2--2904-11.51.18.dzn;1;0.789269841;49724;1;1;371;80;8;4;0.9319;1.516691;6.35E-05;4;63000;singleobj-mzn-gurobi-noBounds;15;batchcount
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/direct-batch-pos-batchcount-objective.mzn $file --time-limit 3600000 -v;../../instances/16NewRandomOvenSchedulingInstance-n10-k5-a5--2904-12.11.27.dzn;1;0.985060691;16985500;1;1;361;138;10;6;2.0125;2.674587;3.48E-07;6;17243100;singleobj-mzn-gurobi-noBounds;16;batchcount
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/direct-batch-pos-batchcount-objective.mzn $file --time-limit 3600000 -v;../../instances/17NewRandomOvenSchedulingInstance-n10-k5-a5--2904-12.14.43.dzn;1;0.691993919;30883135;1;1;463;61;7;6;1.9999;2.670323;1.34E-07;6;44629200;singleobj-mzn-gurobi-noBounds;17;batchcount
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/direct-batch-pos-batchcount-objective.mzn $file --time-limit 3600000 -v;../../instances/18NewRandomOvenSchedulingInstance-n10-k5-a5--2904-12.16.33.dzn;1;0.97965368;339450;1;1;390;25;10;5;1.5618;2.22783;1.44E-05;5;346500;singleobj-mzn-gurobi-noBounds;18;batchcount
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/direct-batch-pos-batchcount-objective.mzn $file --time-limit 3600000 -v;../../instances/19NewRandomOvenSchedulingInstance-n10-k5-a5--2904-12.20.14.dzn;1;0.702438095;73756;1;1;416;107;7;8;2.7218;3.392122;7.62E-05;8;105000;singleobj-mzn-gurobi-noBounds;19;batchcount
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/direct-batch-pos-batchcount-objective.mzn $file --time-limit 3600000 -v;../../instances/20NewRandomOvenSchedulingInstance-n10-k5-a5--2904-12.21.16.dzn;1;0.684457684;2429859;1;1;207;41;7;5;1.4345;2.08479;1.41E-06;5;3550050;singleobj-mzn-gurobi-noBounds;20;batchcount
