config;instance;run;solutionCosts;optimal;feasible;totalTime;improvement of runtime over runtime without batching;average number of jobs per batch;normalised objective bound;total running time;total setup time;total setup costs;number of too late jobs;number of batches;solution_method;instance_number;objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/05RandomOvenSchedulingInstance-n10-k2-a2-WithInitialStates.json;1;0.40388615216201423;-1;1;-1;-1;-1;-1;296;49;77;4;5;upperBounds;5;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/50RandomOvenSchedulingInstance-n50-k2-a5-WithInitialStates.json;1;0.9034761904761904;-1;1;-1;-1;-1;-1;1455;0;242;46;22;upperBounds;50;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/51RandomOvenSchedulingInstance-n50-k5-a2-WithInitialStates.json;1;0.9733696145124716;-1;1;-1;-1;-1;-1;159;53;58;50;24;upperBounds;51;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/52RandomOvenSchedulingInstance-n50-k5-a2-WithInitialStates.json;1;0.9769523809523809;-1;1;-1;-1;-1;-1;166;28;55;50;28;upperBounds;52;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/53RandomOvenSchedulingInstance-n50-k5-a2-WithInitialStates.json;1;0.9387936507936508;-1;1;-1;-1;-1;-1;161;64;64;48;23;upperBounds;53;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/54RandomOvenSchedulingInstance-n50-k5-a2-WithInitialStates.json;1;0.964952380952381;-1;1;-1;-1;-1;-1;99;24;0;50;12;upperBounds;54;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/55RandomOvenSchedulingInstance-n50-k5-a2-WithInitialStates.json;1;0.9910168742821804;-1;1;-1;-1;-1;-1;2242;767;436;50;42;upperBounds;55;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/56RandomOvenSchedulingInstance-n50-k5-a5-WithInitialStates.json;1;0.9323174603174603;-1;1;-1;-1;-1;-1;126;26;32;48;18;upperBounds;56;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/57RandomOvenSchedulingInstance-n50-k5-a5-WithInitialStates.json;1;0.8135746031746032;-1;1;-1;-1;-1;-1;192;36;53;41;34;upperBounds;57;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/58RandomOvenSchedulingInstance-n50-k5-a5-WithInitialStates.json;1;0.9860495238095238;-1;1;-1;-1;-1;-1;2057;671;679;50;37;upperBounds;58;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/59RandomOvenSchedulingInstance-n50-k5-a5-WithInitialStates.json;1;0.9755555555555556;-1;1;-1;-1;-1;-1;1293;269;334;50;21;upperBounds;59;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/06RandomOvenSchedulingInstance-n10-k2-a5-WithInitialStates.json;1;0.98;-1;1;-1;-1;-1;-1;37;15;13;10;6;upperBounds;6;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/60RandomOvenSchedulingInstance-n50-k5-a5-WithInitialStates.json;1;0.9510766714766715;-1;1;-1;-1;-1;-1;1927;332;481;48;39;upperBounds;60;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/61RandomOvenSchedulingInstance-n100-k2-a2-WithInitialStates.json;1;0.9650680272108844;-1;1;-1;-1;-1;-1;206;42;31;100;23;upperBounds;61;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/62RandomOvenSchedulingInstance-n100-k2-a2-WithInitialStates.json;1;0.9776683737646001;-1;1;-1;-1;-1;-1;3006;606;773;100;49;upperBounds;62;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/63RandomOvenSchedulingInstance-n100-k2-a2-WithInitialStates.json;1;0.9368850408850409;-1;1;-1;-1;-1;-1;1680;271;272;97;20;upperBounds;63;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/64RandomOvenSchedulingInstance-n100-k2-a2-WithInitialStates.json;1;0.9764877344877345;-1;1;-1;-1;-1;-1;2666;546;681;100;41;upperBounds;64;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/65RandomOvenSchedulingInstance-n100-k2-a2-WithInitialStates.json;1;0.9462351797862002;-1;1;-1;-1;-1;-1;3497;1070;1200;96;62;upperBounds;65;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/66RandomOvenSchedulingInstance-n100-k2-a5-WithInitialStates.json;1;0.9862857142857143;-1;1;-1;-1;-1;-1;432;0;68;100;68;upperBounds;66;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/67RandomOvenSchedulingInstance-n100-k2-a5-WithInitialStates.json;1;0.944952380952381;-1;1;-1;-1;-1;-1;278;110;110;97;37;upperBounds;67;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/68RandomOvenSchedulingInstance-n100-k2-a5-WithInitialStates.json;1;0.9866346965452848;-1;1;-1;-1;-1;-1;4090;653;972;100;73;upperBounds;68;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/69RandomOvenSchedulingInstance-n100-k2-a5-WithInitialStates.json;1;0.956639706959707;-1;1;-1;-1;-1;-1;2939;578;466;98;47;upperBounds;69;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/07RandomOvenSchedulingInstance-n10-k2-a5-WithInitialStates.json;1;0.9954352461296004;-1;1;-1;-1;-1;-1;664;65;128;10;10;upperBounds;7;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/70RandomOvenSchedulingInstance-n100-k2-a5-WithInitialStates.json;1;0.9855352380952381;-1;1;-1;-1;-1;-1;4134;902;753;100;72;upperBounds;70;combined objective
