config;instance;run;solutionCosts;integerSolutionCosts;optimal;feasible;total running time;total setup costs;number of too late jobs;number of batches;solve_time;total_time;normalized_objective_bound;int_objective_bound;normalization_const_int_to_float_obj;solution_method;instance_number;objective
~/minizinc-executables/mzn-gurobi.sh $file ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-warmstart-noUB-setupcosts-objective.mzn $1 -d $2 --time-limit 3600000 -v;../../instancesUC1withLB/mzn/22_oven_scheduling.minizinc_instance_1212-10.33.15.dzn ../../instancesUC1withLB/mzn/warmstart/22_warm_start_22RandomOvenSchedulingInstance-n25-k2-a2-WithInitialStates.dzn;1;0.98031746;15440;1;1;110;0;25;19;1.5356;2.399093;0;0;15750;singleobj-mzn-gurobiWS-LB-noUB;22;setupcosts
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-noUB-setupcosts.mod $file;../../instancesUC1withLB/opl/22_oven_scheduling.cpoptimizer_instance_1212-10.33.15.dat;1;0;0;1;1;38;0;24;4;0.09;0.24;0;0;15750;singleobj-opl-reprjob-LB-noUB;22;setupcosts
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-warmstart-noUB-setupcosts.mod $file;../../instancesUC1withLB/opl/warmstartDataOplDec24/22_warm_start_22RandomOvenSchedulingInstance-n25-k2-a2-WithInitialStates.dat;1;0;0;1;1;39;0;24;5;0.11;0.25;0;0;15750;singleobj-opl-reprjob-LB-WS-noUB;22;setupcosts
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-tardiness-objective.mzn $file --time-limit 3600000 -v;../../instancesUC1withLB/mzn/22_oven_scheduling.minizinc_instance_1212-10.33.15.dzn;1;0.923936508;14552;1;1;38;0;24;4;2.5342;3.351764;0.00152381;24;15750;singleobj-mzn-gurobi-LB-noUB;22;tardiness
~/minizinc-executables/mzn-gurobi.sh $file ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-warmstart-noUB-tardiness-objective.mzn $1 -d $2 --time-limit 3600000 -v;../../instancesUC1withLB/mzn/22_oven_scheduling.minizinc_instance_1212-10.33.15.dzn ../../instancesUC1withLB/mzn/warmstart/22_warm_start_22RandomOvenSchedulingInstance-n25-k2-a2-WithInitialStates.dzn;1;0.926984127;14600;1;1;47;6;24;5;3.1097;3.942669;0.00152381;24;15750;singleobj-mzn-gurobiWS-LB-noUB;22;tardiness
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-noUB-tardiness.mod $file;../../instancesUC1withLB/opl/22_oven_scheduling.cpoptimizer_instance_1212-10.33.15.dat;1;0.00152381;24;-1;1;38;0;24;4;3599.86;3600;0.00031746;5;15750;singleobj-opl-reprjob-LB-noUB;22;tardiness
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-warmstart-noUB-tardiness.mod $file;../../instancesUC1withLB/opl/warmstartDataOplDec24/22_warm_start_22RandomOvenSchedulingInstance-n25-k2-a2-WithInitialStates.dat;1;0.00152381;24;-1;1;39;3;24;5;3599.88;3600;0.00031746;5;15750;singleobj-opl-reprjob-LB-WS-noUB;22;tardiness
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-batchcount-objective.mzn $file --time-limit 3600000 -v;../../instancesUC1withLB/mzn/23_oven_scheduling.minizinc_instance_1212-10.33.18.dzn;1;0.973651855;64192380;1;1;649;136;25;10;28.0895;29.46047;1.52E-07;10;65929500;singleobj-mzn-gurobi-LB-noUB;23;batchcount
~/minizinc-executables/mzn-gurobi.sh $file ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-warmstart-noUB-batchcount-objective.mzn $1 -d $2 --time-limit 3600000 -v;../../instancesUC1withLB/mzn/23_oven_scheduling.minizinc_instance_1212-10.33.18.dzn ../../instancesUC1withLB/mzn/warmstart/23_warm_start_23RandomOvenSchedulingInstance-n25-k2-a2-WithInitialStates.dzn;1;0.974538621;64250844;1;1;677;140;25;10;11.8646;12.715852;1.52E-07;10;65929500;singleobj-mzn-gurobiWS-LB-noUB;23;batchcount
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-noUB-batchcount.mod $file;../../instancesUC1withLB/opl/23_oven_scheduling.cpoptimizer_instance_1212-10.33.17.dat;1;1.52E-07;10;1;1;638;157;25;10;3.15;3.32;1.52E-07;10;65929500;singleobj-opl-reprjob-LB-noUB;23;batchcount
